W 200
0000000028000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000487C769F 0 FF
00002E7900040250 1 FF
W 200
0000000028000045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000497C769F 0 FF
00001F7900041050 1 FF
W 200
0000000040020045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000497C769F 0 FF
0000166600041050 0 FF
F17707ECBDF1CBBD 0 FF
03928B3F781CE6A6 0 FF
9E23CC28C4EA4737 0 FF
4ADFFB3735DF0020 0 FF
E4F7B0F034AD8AF6 0 FF
009A4D10252A5C4C 0 FF
B47B507BD14F56AD 0 FF
5DC904D8BF05F90E 0 FF
EDC132F42E0B0294 0 FF
CCBF1BC6865A58F1 0 FF
57EB9C5717F209DC 0 FF
B026142D514F8BEC 0 FF
983C6788FC0C29FF 0 FF
D67E08EA0E6B74D3 0 FF
266F1BC9A1F3BB21 0 FF
7C74F9DAFF744BD8 0 FF
F5FD6025674A7ABA 0 FF
5CDEC84516567FA0 0 FF
47B45DC2A9B1C6C9 0 FF
0294A6F24BB0C57C 0 FF
59CCA5D176AB408C 0 FF
F9B0DED759D4BCA4 0 FF
B17AEFD62A8784F4 0 FF
9F6BAA94C72BBAB8 0 FF
38A6702807B8A3C6 0 FF
51220D39780AA1AF 0 FF
3C979C617709312E 0 FF
5FD41D68476700E7 0 FF
D1F594568B189D09 0 FF
F59098245EA4D06B 0 FF
9D901B00E4599BF7 0 FF
F84A396E60E4A124 0 FF
6A7FFB4298E9F661 0 FF
719F1F7A497DFB51 0 FF
C8EF468803D3C84B 0 FF
A5799B4BFD27443E 0 FF
4B56884CC21EBE9A 0 FF
74400997BE5C7687 0 FF
B5936DC7038BE3EA 0 FF
4B32DA6462E97BA1 0 FF
E9C7496EB1D610D4 0 FF
CF9527547F8C7A24 0 FF
FAB806A9CAD13A11 0 FF
B6F3A538D70CB3FF 0 FF
9F29699C26EB4A22 0 FF
E0BE930E12611B0B 0 FF
0E5FF07D99506E22 0 FF
439E8EE981A126B2 0 FF
BC5F3C2284C0418D 0 FF
981F17AA15A7B62D 0 FF
0DB907CB527AE03D 0 FF
D2AAF91D39AEF326 0 FF
62599D553C5A9F23 0 FF
9784DA6ECDA5D422 0 FF
E30A33081865BD92 0 FF
776D9EE37800C27B 0 FF
4126E1625F282719 0 FF
5EEC087B3C492947 0 FF
4AAB1EF278ACB0F0 0 FF
66143B063329BAAC 0 FF
29B7BB48774F5DF9 0 FF
0F01F96EA5F0AC3D 0 FF
185984FD8C0B69C7 0 FF
650C3E0DEF7DE612 0 FF
2DF8090D4E68410F 0 FF
EB8A1B5015886782 0 FF
60927C8A0436DB99 1 FF
W 200
0000000040020045 0 FF
0A0A0A0A000006FF 0 FF
5700890001010101 0 FF
00000000617E769F 0 FF
0000E9B700041050 0 FF
1D39D3724EE9B9A0 0 FF
3E142150D1C5164F 0 FF
330CB30F3E936D15 0 FF
E58EC0506B195F49 0 FF
BAF4A7D17193C2A7 0 FF
432B102161CF44B3 0 FF
210C078EC31049AD 0 FF
545C6D3B9CF3DC5B 0 FF
B52B8718BAD39503 0 FF
6F76EA511ECBF072 0 FF
D01A98F888EFC471 0 FF
64E17B9308FA0D6B 0 FF
5A3DC05B8F334637 0 FF
D424669ED9D7FB3F 0 FF
CC33E6B7192B097D 0 FF
830260CC9FDCAE52 0 FF
79624F0651632F96 0 FF
89ABB1ECD0FB66B4 0 FF
16134885AD975CCC 0 FF
B746ED4EB6C2945B 0 FF
BDD6B0E5F4ABC012 0 FF
648BF93DE584359C 0 FF
629DE9E6A72D6300 0 FF
4E36E35FB78DB01B 0 FF
1039C4A12AE59F44 0 FF
E7876C6ABAE0D490 0 FF
901D072FF79A474D 0 FF
0FBAB0A598302F9A 0 FF
3AEDA5D951F5D57C 0 FF
26172831197AD7B2 0 FF
ECB6CDD0BCC21A9D 0 FF
5F34101A1AF7A0F4 0 FF
1E608B6715BEAE75 0 FF
C212F1F67EAF5F98 0 FF
61EBBC5A7A1D4BB8 0 FF
D9564B93C9B27F4A 0 FF
184512AA3C6B0C84 0 FF
CF5B17EF628AFC7A 0 FF
84627540045CC401 0 FF
F447157871F9370D 0 FF
E7976FC7640D82AF 0 FF
D3DF69C50609A2A5 0 FF
