W 200
0000000028000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
00000000CDFF0000 0 FF
0000741500040250 1 FF
W 100
0000000028000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
00000000CEFF0000 0 FF
0000651500041050 1 FF
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
00000000CEFF0000 0 FF
0000B2EA00041050 0 FF
4757422436DE9E4F 0 FF
7F49C0A5B3776C43 0 FF
E605795DE3AC08AC 0 FF
FDD1FE8A4FA5B4FE 0 FF
D828C9703783A4D3 0 FF
0000000000000029 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
00000000F7FF0000 0 FF
0000173800041050 0 FF
7936491E9F91008A 0 FF
5BAE471E409EDFFD 0 FF
BF8E4C843D913A5C 0 FF
235B3DE68899CFA9 0 FF
F4BB4B31AC66ABDC 0 FF
000000000000004E 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
0000000020000100 0 FF
00004FD200041050 0 FF
C29ACD73971781A6 0 FF
59CC88034796ED72 0 FF
60E74742F378F46E 0 FF
8AE0768D9D1D688B 0 FF
DC738CBDBA3F1FFB 0 FF
0000000000000008 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
0000000049000100 0 FF
00006F9A00041050 0 FF
D21A4351FA779DB4 0 FF
15FFAE2D902ABDF6 0 FF
10B9DA5B855EBFAB 0 FF
6EBB245E794BA3A8 0 FF
C9848F74268B30F8 0 FF
00000000000000EA 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
0000000072000100 0 FF
00006DAC00041050 0 FF
56B35C4EC9F7777B 0 FF
062749485A556D6E 0 FF
2ED6AE426A019AE1 0 FF
CCD92B8B89C5383C 0 FF
1C18DFD86B561B0B 0 FF
000000000000000B 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
000000009B000100 0 FF
00001AA900041050 0 FF
A0F2BCB5E3412CE5 0 FF
9108D569C7CC3090 0 FF
07161501B5F41F4B 0 FF
5F0EB26DBA6E544E 0 FF
44DBC35ED9BE93DB 0 FF
0000000000000068 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
00000000C4000100 0 FF
0000218600041050 0 FF
5FE8668156954DA7 0 FF
A74F3F6C13B7993C 0 FF
BB646999F9E71970 0 FF
8E948037DE3068A7 0 FF
A29C1212A7FD3AA0 0 FF
00000000000000F1 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
00000000ED000100 0 FF
0000615D00041050 0 FF
C9C4D5394AB09BEA 0 FF
CAF78BAC6E75FD27 0 FF
FB2263451386F8DF 0 FF
20445806A683212E 0 FF
B98C09ADFD3A084A 0 FF
0000000000000052 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
0000000016010100 0 FF
000082FD00041050 0 FF
A98ADC2D8854B9AA 0 FF
DBC032A03C571995 0 FF
130A8317C2771702 0 FF
BFA51B7193BD7A8D 0 FF
08C34C55457450FF 0 FF
0000000000000088 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
000000003F010100 0 FF
0000D46900041050 0 FF
BF7B96F931A7B408 0 FF
8C68E1AE4FF84D12 0 FF
391E7940F473E3B3 0 FF
C35D0E94300D4638 0 FF
EC03F6709DEA5C41 0 FF
0000000000000004 1 01
W 100
0000000051000045 0 FF
0A0A0A0A000006FF 0 FF
0280890001010101 0 FF
0000000068010100 0 FF
00003F6E00041150 0 FF
18AD25EB232A9C3F 0 FF
7D2775202D9D1294 0 FF
48227653DB9E65FF 0 FF
508A206A481A9466 0 FF
07A39E876B8FD1E6 0 FF
0000000000000000 1 01
