0080 0056 01010101 0A0B0C0D 0003 0000000000DE0181 07 1
0080 0056 01010101 0A0B0C0D 0006 0000DEAD00000181 3F 1
0080 0056 01010101 0A0B0C0D 0008 DEADBEEF00000181 FF 1
0080 0056 01010101 0A0B0C0D 0018 0000000000000181 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 1
0080 0056 01010101 0A0B0C0D 001D 0000000400000081 FF 0
0000 0000 00000000 00000000 0000 0000000005000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 00000041DEADBEEF 1F 1
0080 0056 01010101 0A0B0C0D 001D 0000000400000081 FF 0
0000 0000 00000000 00000000 0000 0000000005000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 00000041DEADBEEF 1F 1
0080 0056 01010101 0A0B0C0D 001D 0000000400000081 FF 0
0000 0000 00000000 00000000 0000 0000000005000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 00000041DEADBEEF 1F 1
0080 0056 01010101 0A0B0C0D 001D 0000000400000081 FF 0
0000 0000 00000000 00000000 0000 0000000005000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 00000041DEADBEEF 1F 1
0080 0056 01010101 0A0B0C0D 001D 0000000400000081 FF 0
0000 0000 00000000 00000000 0000 0000000005000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 00000041DEADBEEF 1F 1
0080 0056 01010101 0A0B0C0D 0018 0000000000000181 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 1
0080 0056 01010101 0A0B0C0D 001F 0000000400000081 FF 0
0000 0000 00000000 00000000 0000 0000000007000000 FF 0
0000 0000 00000000 00000000 0000 0000000000000000 FF 0
0000 0000 00000000 00000000 0000 00424242DEADBEEF 7F 1
