0000000000070180 1
0000000A01000180 1
0000000801000180 0
000000000A000000 0
0000000000000000 0
2A000000DEADBEEF 0
0000000000004161 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000801000180 0
000000000C000000 0
0000000000000000 0
2A000000DEADBEEF 0
0000000042424261 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000801000180 0
000000000D000000 0
0000000000000000 0
2A000000DEADBEEF 0
0000004343434361 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
0000000001000080 0
0000000001000000 0
0000000000000000 0
0000000000000061 1
